feature,importance
Sub_issue_Debt was discharged in bankruptcy,0.001325928
"Issue_Making/receiving payments, sending money",0.0013232784
ZIP_code_92571.0,0.0013226941
Issue_Can't repay my loan,0.0013204121
Company_582,0.0013113936
ZIP_code_92563.0,0.0013090853
Company_983,0.0013089649
State_19,0.0013088093
ZIP_code_30024.0,0.0013086618
ZIP_code_27330.0,0.0013085848
ZIP_code_33460.0,0.0013080871
ZIP_code_92025.0,0.0013078358
ZIP_code_29730.0,0.0013072788
Company_976,0.001305992
Company_1357,0.0013055013
Company_1341,0.0013050613
State_31,0.0013008507
Company_612,0.0013002481
ZIP_code_32808.0,0.0012988247
Sub_product_Conventional adjustable mortgage (ARM),0.0012986746
Company_1043,0.0012980015
State_34,0.0012939875
State_52,0.001293778
ZIP_code_23220.0,0.0012872992
ZIP_code_21204.0,0.0012870951
Issue_Received a loan I didn't apply for,0.001286468
ZIP_code_63114.0,0.001285636
Product_6,0.0012821448
Company_grouped_644,0.0012820264
ZIP_code_22900.0,0.0012808273
Company_580,0.0012777321
ZIP_code_11030.0,0.0012742023
Issue_Credit monitoring or identity protection,0.0012739368
Company_1500,0.0012682647
Company_44,0.0012663115
State_12,0.0012638354
ZIP_code_1801.0,0.0012630442
ZIP_code_72336.0,0.0012618466
Company_285,0.0012523727
State_38,0.0012519698
Company_438,0.0012453571
Issue_Advertising and marketing,0.0012409126
ZIP_code_3303.0,0.0012405327
ZIP_code_30318.0,0.0012400255
ZIP_code_75252.0,0.0012392486
Company_1245,0.0012363754
Sub_issue_Problem getting report or credit score,0.0012346135
ZIP_code_21795.0,0.0012321469
ZIP_code_77057.0,0.0012319969
Company_180,0.0012315288
ZIP_code_20190.0,0.0012313277
ZIP_code_32514.0,0.0012293892
State_16,0.0012290247
ZIP_code_15501.0,0.0012194589
ZIP_code_78666.0,0.0012174812
Company_994,0.001217278
ZIP_code_20175.0,0.0012153824
ZIP_code_38116.0,0.0012148977
State_2,0.0012145396
Company_967,0.0012131897
ZIP_code_85064.0,0.0012060313
State_50,0.0012038139
ZIP_code_91303.0,0.0012030026
ZIP_code_90018.0,0.0012015095
Days_to_response_bin_30+ días,0.0012014409
ZIP_code_98661.0,0.0012003899
ZIP_code_37229.0,0.00119884
Company_1294,0.0011978861
Company_56,0.0011975332
ZIP_code_79763.0,0.0011938872
ZIP_code_10031.0,0.0011923596
ZIP_code_35080.0,0.0011922603
Company_859,0.0011919574
ZIP_code_75013.0,0.0011914335
Company_579,0.0011909085
Sub_product_VA mortgage,0.0011904378
ZIP_code_25444.0,0.0011899999
Company_943,0.0011855793
Sub_issue_Indicated committed crime not paying,0.0011833656
Issue_Credit line increase/decrease,0.0011828686
ZIP_code_10128.0,0.0011827834
ZIP_code_32169.0,0.0011822793
State_51,0.0011815269
Company_450,0.0011800218
State_11,0.0011776631
Sub_issue_Threatened arrest/jail if do not pay,0.0011771613
ZIP_code_22015.0,0.0011743112
ZIP_code_7740.0,0.0011732578
Company_1343,0.0011728014
ZIP_code_77083.0,0.0011727638
ZIP_code_23112.0,0.0011713144
ZIP_code_20147.0,0.0011701657
State_17,0.0011692157
Company_69,0.0011687168
ZIP_code_60618.0,0.0011686427
Sub_product_(CD) Certificate of deposit,0.0011685647
Company_899,0.0011666663
Company_1503,0.0011659086
Company_1396,0.0011647377
Sub_product_Other bank product/service,0.0011636487
Company_142,0.0011606409
Company_393,0.0011606097
ZIP_code_78745.0,0.0011596474
State_40,0.001158509
State_48,0.0011573762
ZIP_code_84092.0,0.0011569499
ZIP_code_85251.0,0.0011568579
State_44,0.0011566431
ZIP_code_11229.0,0.0011564478
Company_397,0.0011556039
State_9,0.001155278
Company_1247,0.0011533481
ZIP_code_53221.0,0.0011518933
ZIP_code_94103.0,0.0011478415
ZIP_code_93710.0,0.0011465154
ZIP_code_33713.0,0.0011464676
Company_486,0.0011458294
Issue_Billing disputes,0.0011455056
Company_1042,0.0011443236
ZIP_code_66049.0,0.0011440108
Company_1419,0.0011423674
Company_1175,0.0011414756
ZIP_code_91337.0,0.001141245
Issue_Managing the loan or lease,0.0011406791
Company_grouped_450,0.0011399597
ZIP_code_48382.0,0.0011382622
ZIP_code_20816.0,0.0011380377
ZIP_code_84070.0,0.0011368754
ZIP_code_30093.0,0.0011368606
ZIP_code_32095.0,0.0011361256
ZIP_code_85207.0,0.0011348799
State_7,0.0011343186
ZIP_code_78247.0,0.0011322132
Company_573,0.0011318312
State_25,0.0011317472
ZIP_code_33762.0,0.0011282985
ZIP_code_83877.0,0.0011271285
Issue_Applied for loan/did not receive money,0.0011265399
ZIP_code_32222.0,0.0011264269
ZIP_code_80615.0,0.0011251371
ZIP_code_20009.0,0.0011236769
ZIP_code_77489.0,0.0011218396
ZIP_code_80227.0,0.0011199656
ZIP_code_19143.0,0.0011189712
Company_1099,0.001118793
ZIP_code_60657.0,0.0011159881
ZIP_code_98004.0,0.0011143683
ZIP_code_20036.0,0.0011141221
ZIP_code_98198.0,0.0011140138
Company_1322,0.0011136635
ZIP_code_33825.0,0.0011125745
ZIP_code_84108.0,0.0011098448
Company_440,0.0011096717
ZIP_code_45042.0,0.0011091933
Company_596,0.001107921
ZIP_code_32725.0,0.0011070989
ZIP_code_80229.0,0.0011070588
Company_269,0.001106648
ZIP_code_27518.0,0.0011049905
Issue_Fraud or scam,0.0011043992
State_33,0.0011041607
ZIP_code_30349.0,0.0011029966
Company_996,0.0011028191
ZIP_code_60641.0,0.0011008681
ZIP_code_33021.0,0.0011006946
Company_1520,0.001098929
ZIP_code_8046.0,0.001097933
State_10,0.0010967194
ZIP_code_4106.0,0.001095937
ZIP_code_77064.0,0.0010958873
Company_729,0.0010956615
ZIP_code_28083.0,0.0010954975
Sub_product_Conventional fixed mortgage,0.0010947776
ZIP_code_98133.0,0.0010933471
Company_622,0.0010930616
Company_435,0.0010927164
ZIP_code_47714.0,0.0010924713
Company_753,0.0010924619
Product_7,0.0010913218
ZIP_code_91302.0,0.0010907346
Company_329,0.0010906612
Issue_Managing the line of credit,0.0010902862
ZIP_code_75051.0,0.0010902805
ZIP_code_8081.0,0.0010886202
ZIP_code_90047.0,0.0010879207
Company_115,0.0010863775
ZIP_code_91344.0,0.0010843072
ZIP_code_79424.0,0.001084204
State_39,0.0010842026
ZIP_code_75208.0,0.0010838965
ZIP_code_60435.0,0.0010834623
Company_1433,0.0010833036
ZIP_code_1841.0,0.0010814087
ZIP_code_44446.0,0.0010811866
Company_1242,0.0010800097
Company_636,0.0010784339
ZIP_code_23452.0,0.001075964
Company_grouped_279,0.0010758113
ZIP_code_95315.0,0.0010743897
Issue_Charged bank acct wrong day or amt,0.0010740282
Sub_product_Auto,0.0010725504
Sub_issue_Billing dispute,0.0010716405
State_36,0.0010712851
State_53,0.0010705345
ZIP_code_98204.0,0.0010703193
Company_grouped_1398,0.0010700788
ZIP_code_37211.0,0.0010694559
ZIP_code_95762.0,0.001068889
Sub_product_Checking account,0.0010679784
ZIP_code_1089.0,0.0010677753
Company_1149,0.0010669446
ZIP_code_98404.0,0.0010668315
ZIP_code_32824.0,0.0010661609
Issue_Shopping for a loan or lease,0.0010654985
Company_1005,0.0010652544
ZIP_code_34953.0,0.0010647692
ZIP_code_77015.0,0.0010598494
Company_96,0.0010555985
Company_1455,0.00105532
ZIP_code_92880.0,0.0010551709
ZIP_code_92103.0,0.0010550863
Company_1312,0.0010549438
ZIP_code_92026.0,0.0010545707
Company_370,0.0010541587
Company_724,0.0010539521
ZIP_code_60640.0,0.0010525461
ZIP_code_94606.0,0.0010517541
ZIP_code_20774.0,0.0010507619
ZIP_code_63125.0,0.0010507437
ZIP_code_38018.0,0.0010490621
Company_76,0.0010479792
ZIP_code_89509.0,0.001045086
ZIP_code_25411.0,0.0010442681
ZIP_code_88201.0,0.0010430015
State_13,0.001041955
ZIP_code_28213.0,0.0010418277
ZIP_code_11530.0,0.0010405675
Sub_issue_Problem with statement of dispute,0.0010393948
ZIP_code_92592.0,0.0010382262
ZIP_code_6438.0,0.0010377966
Company_177,0.001037664
ZIP_code_48067.0,0.0010374767
Company_446,0.0010370695
Company_500,0.001036878
Sub_product_Payday loan,0.0010365123
ZIP_code_33414.0,0.0010364115
Company_274,0.0010350205
ZIP_code_7095.0,0.0010346278
ZIP_code_86429.0,0.0010336929
ZIP_code_19083.0,0.0010320765
ZIP_code_78626.0,0.0010309519
ZIP_code_23455.0,0.0010307112
ZIP_code_29483.0,0.0010304006
ZIP_code_65203.0,0.0010289866
ZIP_code_91765.0,0.0010286744
ZIP_code_11365.0,0.0010276899
ZIP_code_29130.0,0.0010272431
Issue_Credit decision / Underwriting,0.001025722
Company_103,0.0010242757
ZIP_code_76034.0,0.0010239338
ZIP_code_33025.0,0.0010235817
ZIP_code_4605.0,0.0010230301
ZIP_code_63304.0,0.0010229077
Company_510,0.0010222351
ZIP_code_49417.0,0.0010214198
Company_1330,0.0010214116
ZIP_code_32327.0,0.0010213052
Company_903,0.0010189849
ZIP_code_97115.0,0.0010155028
Company_1182,0.0010147827
ZIP_code_77082.0,0.0010141017
"Issue_Loan servicing, payments, escrow account",0.001013578
Company_1009,0.0010077922
ZIP_code_34609.0,0.001006601
ZIP_code_60611.0,0.0010056039
ZIP_code_19101.0,0.0010054195
ZIP_code_8094.0,0.0010047065
Company_798,0.001003442
ZIP_code_23454.0,0.0010029214
Company_550,0.0009996528
Company_377,0.0009995763
Company_1288,0.0009993896
ZIP_code_33950.0,0.0009993849
Company_871,0.0009988925
ZIP_code_91603.0,0.000998106
ZIP_code_93612.0,0.0009972737
Company_grouped_1498,0.0009966352
State_8,0.0009960467
ZIP_code_19067.0,0.0009954812
Company_191,0.0009947711
Company_360,0.0009947526
ZIP_code_77065.0,0.0009947497
ZIP_code_22407.0,0.0009934235
ZIP_code_77584.0,0.0009900554
ZIP_code_90025.0,0.0009899104
Company_1111,0.000989712
Issue_Getting a loan,0.0009893611
Company_1173,0.0009876933
Sub_product_Cashing a check without an account,0.0009858542
ZIP_code_10454.0,0.0009858474
ZIP_code_33595.0,0.0009851804
ZIP_code_80249.0,0.0009838017
ZIP_code_11361.0,0.0009835798
ZIP_code_10022.0,0.0009830971
Company_260,0.0009828211
Issue_False statements or representation,0.0009825677
ZIP_code_66062.0,0.0009815847
ZIP_code_19003.0,0.0009814942
ZIP_code_97242.0,0.0009809354
Company_1070,0.0009805936
ZIP_code_7093.0,0.0009763036
Company_190,0.00097620126
ZIP_code_23219.0,0.00097481365
ZIP_code_2907.0,0.0009747362
Sub_issue_Inadequate help over the phone,0.0009744051
ZIP_code_20748.0,0.0009733067
ZIP_code_77373.0,0.00097267807
Company_255,0.00097261986
ZIP_code_84109.0,0.0009710354
ZIP_code_1890.0,0.0009706664
ZIP_code_36207.0,0.0009700136
ZIP_code_75006.0,0.00096963294
ZIP_code_92303.0,0.00096948445
ZIP_code_7712.0,0.00096857233
ZIP_code_7801.0,0.00096850964
Issue_Payoff process,0.0009670567
Company_209,0.0009666568
Issue_Settlement process and costs,0.00096647145
State_21,0.00096638233
Company_1457,0.000966369
Issue_Deposits and withdrawals,0.00096583896
Company_271,0.00096564234
ZIP_code_60090.0,0.000964929
ZIP_code_11435.0,0.00096286915
Issue_Balance transfer,0.0009625921
ZIP_code_24503.0,0.00096110324
ZIP_code_45807.0,0.00096098025
Company_1011,0.0009605838
ZIP_code_17362.0,0.0009595924
ZIP_code_97504.0,0.0009588444
Sub_product_Title loan,0.00095877884
ZIP_code_10010.0,0.00095870916
Company_31,0.0009578866
ZIP_code_8753.0,0.0009577588
Sub_product_Vehicle loan,0.0009575372
ZIP_code_36451.0,0.000955557
State_14,0.00095554994
Sub_issue_Desconocido,0.0009555272
ZIP_code_91604.0,0.0009537454
ZIP_code_73501.0,0.0009520693
ZIP_code_48188.0,0.0009508726
ZIP_code_23831.0,0.00095071987
ZIP_code_21045.0,0.00095020037
ZIP_code_49045.0,0.000950172
ZIP_code_76705.0,0.0009490825
State_20,0.00094889454
ZIP_code_19121.0,0.0009479434
ZIP_code_34788.0,0.0009467181
ZIP_code_70533.0,0.0009439
ZIP_code_61704.0,0.000943498
ZIP_code_29414.0,0.0009424092
ZIP_code_75033.0,0.0009423195
ZIP_code_91325.0,0.0009420619
ZIP_code_23803.0,0.0009405742
Company_81,0.000939726
Company_100,0.00093943864
ZIP_code_60544.0,0.00093937595
Company_849,0.0009378686
Sub_product_Government benefit payment card,0.0009377207
Company_842,0.00093767757
ZIP_code_21208.0,0.0009376678
Company_1295,0.0009354723
ZIP_code_20716.0,0.0009350837
Company_1356,0.00093507546
ZIP_code_94590.0,0.0009350148
ZIP_code_32904.0,0.00093470706
ZIP_code_46208.0,0.00093356083
ZIP_code_30281.0,0.00093244325
ZIP_code_75070.0,0.0009314785
ZIP_code_93720.0,0.00093066366
ZIP_code_92101.0,0.00093060854
Company_817,0.0009289749
Company_905,0.00092804467
Company_763,0.00092725386
ZIP_code_76549.0,0.00092685554
Issue_len,0.00092452695
Company_response_3,0.0009233537
ZIP_code_32092.0,0.00092321273
Sub_product_Vehicle lease,0.00092216063
ZIP_code_92508.0,0.0009218339
Company_459,0.00092161633
ZIP_code_30044.0,0.0009201679
ZIP_code_94131.0,0.00091905624
Company_192,0.00091815076
ZIP_code_8060.0,0.00091747334
Company_1296,0.00091714883
ZIP_code_53714.0,0.000916856
Company_1163,0.0009165185
Company_614,0.0009164333
Sub_issue_Sued where didn't live/sign for debt,0.0009160281
Company_1337,0.00091511686
ZIP_code_20165.0,0.0009139275
ZIP_code_7065.0,0.00091382355
State_58,0.0009131042
ZIP_code_23462.0,0.00091248995
ZIP_code_22101.0,0.00091188814
State_3,0.0009096007
Issue_Problems when you are unable to pay,0.000908937
ZIP_code_20747.0,0.0009080528
Company_556,0.0009073116
ZIP_code_21117.0,0.0009068898
ZIP_code_60411.0,0.00090628234
State_59,0.0009039693
ZIP_code_10604.0,0.0009014363
Sub_product_Credit card,0.00089955016
Company_802,0.0008993065
ZIP_code_43615.0,0.0008986011
ZIP_code_75023.0,0.0008981061
Company_1515,0.0008980901
ZIP_code_84081.0,0.0008979518
Company_1333,0.00089743146
ZIP_code_92706.0,0.00089584163
State_29,0.0008941658
Company_505,0.00089398277
ZIP_code_28226.0,0.000891911
ZIP_code_89706.0,0.00089173566
ZIP_code_23225.0,0.00089093327
Company_1285,0.0008900276
ZIP_code_32218.0,0.0008894888
ZIP_code_66102.0,0.00088944525
ZIP_code_97114.0,0.00088860287
Sub_product_Savings account,0.0008877158
ZIP_code_29720.0,0.0008867787
ZIP_code_11217.0,0.00088598544
Company_grouped_113,0.00088549254
ZIP_code_80537.0,0.0008852562
ZIP_code_77020.0,0.00088512426
Issue_Sale of account,0.0008788852
ZIP_code_11230.0,0.00087831303
ZIP_code_80012.0,0.0008780588
ZIP_code_11203.0,0.00087756605
Company_533,0.00087489956
Company_1122,0.0008748844
ZIP_code_19020.0,0.000874845
ZIP_code_97526.0,0.000874376
Company_547,0.00087427243
ZIP_code_28278.0,0.0008736657
ZIP_code_6513.0,0.0008731455
ZIP_code_20901.0,0.00087237806
ZIP_code_91723.0,0.0008719817
ZIP_code_96753.0,0.0008718819
ZIP_code_44052.0,0.00087082613
ZIP_code_10019.0,0.0008706155
ZIP_code_77066.0,0.00086983497
ZIP_code_50613.0,0.00086955936
ZIP_code_34448.0,0.0008689019
ZIP_code_33755.0,0.0008681948
ZIP_code_92626.0,0.0008673318
Sub_issue_Debt resulted from identity theft,0.0008668089
ZIP_code_19018.0,0.0008665852
ZIP_code_36609.0,0.00086460647
Company_187,0.00086436735
Company_1381,0.0008642379
ZIP_code_94945.0,0.0008592579
ZIP_code_11375.0,0.00085863227
ZIP_code_33014.0,0.0008579693
ZIP_code_54304.0,0.0008565758
Company_528,0.00085634756
Company_1448,0.00085585564
ZIP_code_89123.0,0.00085576146
ZIP_code_44134.0,0.0008548025
ZIP_code_22079.0,0.000854496
Sub_issue_words,0.00085396925
ZIP_code_27540.0,0.0008537848
ZIP_code_19702.0,0.00085306965
ZIP_code_11377.0,0.00085278176
ZIP_code_75052.0,0.000852593
Issue_Privacy,0.0008514421
ZIP_code_98032.0,0.0008514286
ZIP_code_30121.0,0.0008508914
Company_1528,0.00085085386
ZIP_code_34746.0,0.0008503502
ZIP_code_45417.0,0.0008489269
ZIP_code_33305.0,0.0008480809
Issue_Charged fees or interest I didn't expect,0.0008479568
ZIP_code_22030.0,0.0008479179
Company_861,0.0008471023
Company_925,0.00084665214
ZIP_code_29016.0,0.00084565196
Company_1046,0.0008445317
Issue_Forbearance / Workout plans,0.0008424112
ZIP_code_48154.0,0.0008402284
Company_821,0.00083911954
Company_311,0.000837811
ZIP_code_60459.0,0.00083515747
ZIP_code_77407.0,0.0008350081
Company_336,0.0008345269
State_6,0.00083351386
ZIP_code_20030.0,0.00083276076
ZIP_code_30327.0,0.0008326311
ZIP_code_92555.0,0.00083259493
Company_558,0.00083103013
ZIP_code_8690.0,0.00083053263
Issue_Disclosure verification of debt,0.00082983833
ZIP_code_90815.0,0.0008294495
Company_711,0.00082805153
ZIP_code_90732.0,0.00082718144
Company_337,0.0008269567
Company_232,0.00082691363
ZIP_code_77073.0,0.0008266818
ZIP_code_38183.0,0.0008253
ZIP_code_77339.0,0.00082515203
ZIP_code_70785.0,0.000824574
Company_373,0.0008230269
ZIP_code_28215.0,0.00082288776
ZIP_code_75025.0,0.00082182273
ZIP_code_94119.0,0.0008198391
ZIP_code_95608.0,0.00081941334
State_18,0.00081885146
Company_1276,0.00081822503
Sub_issue_Called after sent written cease of comm,0.0008177521
Issue_Improper contact or sharing of info,0.0008168171
ZIP_code_11021.0,0.0008162203
ZIP_code_44131.0,0.00081568165
Company_112,0.0008150949
ZIP_code_10314.0,0.0008148144
ZIP_code_30161.0,0.0008138899
ZIP_code_37074.0,0.00081327074
Company_grouped_1419,0.0008130146
ZIP_code_91750.0,0.00081071537
ZIP_code_90250.0,0.0008090148
Company_1230,0.0008073825
ZIP_code_27012.0,0.00080717984
ZIP_code_89127.0,0.0008067181
ZIP_code_95120.0,0.0008058375
Company_497,0.00080534467
ZIP_code_21061.0,0.0008046208
ZIP_code_90277.0,0.00080435874
ZIP_code_95624.0,0.0008031381
ZIP_code_92163.0,0.0008017494
Company_1178,0.00080125534
Company_grouped_966,0.00080117764
Company_630,0.00080026744
ZIP_code_70058.0,0.00079997553
ZIP_code_36203.0,0.00079995155
Company_1112,0.00079959765
State_43,0.0007990893
ZIP_code_36605.0,0.00079901767
ZIP_code_91343.0,0.00079817086
ZIP_code_71112.0,0.00079771335
ZIP_code_7003.0,0.00079695083
ZIP_code_64506.0,0.0007962545
Company_1300,0.00079498923
Company_990,0.00079455343
ZIP_code_21224.0,0.00079378765
ZIP_code_92114.0,0.00079358945
ZIP_code_85339.0,0.00079346914
Company_646,0.0007903841
ZIP_code_48104.0,0.0007901074
ZIP_code_77382.0,0.00078985264
ZIP_code_32708.0,0.0007891317
Company_831,0.00078909233
ZIP_code_80011.0,0.0007880766
Company_1375,0.00078691886
ZIP_code_22204.0,0.0007865273
ZIP_code_92835.0,0.00078501186
ZIP_code_78704.0,0.0007849671
ZIP_code_80138.0,0.0007838033
Days_to_response_bin_2-5 días,0.00078366516
Company_1135,0.0007834511
Company_385,0.0007821478
Company_465,0.00078213797
ZIP_code_30058.0,0.00078129815
ZIP_code_90046.0,0.000780251
ZIP_code_85382.0,0.0007781566
ZIP_code_33312.0,0.00077741756
ZIP_code_29229.0,0.000776807
Company_grouped_1341,0.0007751011
ZIP_code_28269.0,0.0007739486
Company_281,0.00077334495
ZIP_code_30086.0,0.0007732932
Company_805,0.0007724332
Company_1435,0.00077237986
Company_987,0.0007709238
ZIP_code_77338.0,0.00077019917
ZIP_code_90403.0,0.00076922367
ZIP_code_64081.0,0.0007682537
ZIP_code_7307.0,0.00076787616
Issue_Cont'd attempts collect debt not owed,0.00076759397
ZIP_code_28277.0,0.00076732243
ZIP_code_48219.0,0.0007667709
Company_325,0.0007661796
ZIP_code_8080.0,0.00076610164
ZIP_code_7950.0,0.00076417264
ZIP_code_7753.0,0.0007637022
ZIP_code_76542.0,0.0007635265
ZIP_code_65775.0,0.0007618873
Sub_product_FHA mortgage,0.0007609354
ZIP_code_65101.0,0.00076005573
Company_1101,0.0007591562
ZIP_code_46254.0,0.0007583573
ZIP_code_90086.0,0.000756314
ZIP_code_44017.0,0.00075406913
ZIP_code_90036.0,0.00075235136
"Sub_product_Other (phone, health club, etc.)",0.0007514641
ZIP_code_33309.0,0.0007510529
ZIP_code_75181.0,0.0007498791
ZIP_code_33771.0,0.0007481024
Company_1086,0.0007477013
ZIP_code_49913.0,0.0007476609
ZIP_code_12095.0,0.00074738776
Company_173,0.0007473679
ZIP_code_27407.0,0.0007473467
Company_538,0.00074677094
ZIP_code_85122.0,0.0007418526
ZIP_code_60466.0,0.00074041425
ZIP_code_65738.0,0.00073890924
ZIP_code_95070.0,0.00073840196
ZIP_code_32211.0,0.00073793886
ZIP_code_60613.0,0.0007373214
ZIP_code_34668.0,0.0007335806
Product_8,0.00073068065
ZIP_code_93635.0,0.0007249128
ZIP_code_76058.0,0.00072489126
State_56,0.00072213856
ZIP_code_94545.0,0.0007215299
ZIP_code_92646.0,0.00071398396
ZIP_code_76051.0,0.0007105633
ZIP_code_97405.0,0.00070863246
Company_1136,0.0007055377
ZIP_code_4042.0,0.00070424937
State_32,0.0006786847
"Issue_Account opening, closing, or management",0.00067697087
